start_hex,end_hex,length,c110_bytes,c120_bytes,category,meaning,confidence,notes
000B,000B,1,5D,B2,ROM checksum,8 KiB checksum compensation byte,proven,5D->B2 exactly compensates all other changes in 0000-1FFF; both 8 KiB images sum to 00h.
1B95,1B95,1,80,81,USR bug fix / shipped regression,USR undefined-entry sentinel widened from DL to DX,proven intent; shipped C1.20 control flow malformed,"C1.10: 80 FA FF = CMP DL,FF. C1.20 begins 81 FA FF FF = CMP DX,FFFF, consuming the former JNZ opcode."
1B98,1B98,1,75,FF,USR bug fix / shipped regression,second byte consequence of widened immediate compare,proven anomaly,"C1.20 changes former JNZ opcode 75h to FFh as part of CMP DX,FFFF. Later GWEVAL uses compact 83 FA FF then JNZ, preserving the intended flow."
1D39,1D39,1,C8,E8,Interpreter bug fix,DEF FN parameter-frame byte-count to word-count conversion,high,"C1.10 ROR AL,1 -> C1.20 SHR AL,1 in FINVLS. Surviving GWEVAL identifies this computation as number of two-byte entries."
4AB7,4AC6,16,C7 06 3B 05 64 00 3C 06 74 12 73 1C 3C 04 72 18,3C 08 73 23 C7 06 3B 05 64 00 C7 06 3D 05 40 01,PCjr video adaptation,machine-dependent graphics mode parameter initialization,high,Generalizes mode tests and initialization of graphics accumulator center/pixel packing for PCjr-era modes.
4ACB,4ACC,2,02 C7,01 3C,PCjr video adaptation,graphics mode parameter initialization,high,Part of same 4AB4 graphics-mode rewrite.
4ACE,4ADD,16,3D 05 A0 00 C3 C6 06 55 00 01 C7 06 3D 05 40 01,74 0E 73 0D 3C 04 72 09 D0 26 55 00 D1 2E 3D 05,PCjr video adaptation,graphics mode parameter initialization,high,Part of same 4AB4 graphics-mode rewrite.
4ADF,4AE0,2,C6 06,D0 2E,PCjr video adaptation,graphics mode parameter initialization,high,Part of same 4AB4 graphics-mode rewrite.
4AE3,4AE3,1,00,C3,PCjr video adaptation,graphics mode parameter initialization,high,Part of same 4AB4 graphics-mode rewrite.
4BE4,4BE4,1,F6,46,ROM checksum,8 KiB checksum compensation byte,proven,F6->46 exactly compensates all other changes in 4000-5FFF; byte lies between RET and a separately-called entry.
4C05,4C05,1,B4,B3,Startup refactor,video-width initialization compaction,high,"Uses BL=40 and SHL BX,1 instead of separate AH=40/80 loads."
4C0A,4C0C,3,0D B4 50,0C D1 E3,Startup refactor,video-width initialization compaction,high,Part of compact 40/80-column setup.
4C10,4C11,2,07 B9,06 B8,Startup refactor,monochrome-mode special setup compaction,high,Part of startup rewrite.
4C14,4C20,13,89 0E 68 00 88 26 29 00 FA 8C DB 89 1E,A3 68 00 88 1E 29 00 E8 5E 00 8C D8 A3,Startup refactor,CRTWID/vector initialization rewrite,high,Stores CRTWID and reorganizes initialization.
4C24,4C36,19,BA 00 00 8E DA 89 1E 10 05 BB 34 4D 89 1E 6C 00 BB 44 57,8E D9 A3 10 05 BF 18 02 B1 7A 8C C8 FC C7 05 94 4C 47 47,Startup refactor,interrupt/vector table setup compaction,high,Rewrites register allocation and loop setup.
4C38,4C40,9,1E 70 00 8C 0E 6E 00 8C 0E,05 47 47 E2 F4 A3 6E 00 A3,Startup refactor,interrupt/vector table setup compaction,high,Part of compact vector initialization.
4C43,4C76,52,1F E8 32 00 BB 18 02 B9 00 00 8E C1 B9 7A 00 26 8C 8F 02 00 26 C7 07 94 4C 83 C3 04 E0 F1 8C DB 8E C3 E8 48 E1 FB B4 01 CD 17 E8 77 06 BB 9B 4C E8 DF 2E E9,B8 34 4D A3 6C 00 B8 44 57 A3 70 00 1F E8 5D E1 FB B4 01 CD 17 E8 8C 06 BB 9B 4C E8 F4 2E E9 78 32 43 61 72 74 72 69 64 67 65 20 52 65 71 75 69 72 65 64 00,PCjr startup + message,startup compaction creates room for Cartridge Required,high,Reordered initialization plus embedded 'Cartridge Required' NUL-terminated string.
4C79,4C88,16,BE ED 4C BB 53 06 B9 0A 00 53 FC 2E AC 88 07 43,E8 4D 13 BE ED 4C BF 53 06 B9 0A 00 57 2E AC AA,PCjr startup,cartridge-compatibility call + function-key table copy refactor,high,Adds CALL 5FC9 then uses DI/STOSB-style key-string copying.
4C8C,4C8D,2,F6 5B,F9 5F,Startup refactor,function-key table copy loop,high,Part of same copy-loop rewrite.
4C8F,4C8F,1,C3,C7,Startup refactor,function-key table copy loop,high,Part of same copy-loop rewrite.
4C92,4C92,1,EF,F2,Startup refactor,function-key table copy loop branch displacement,high,Part of same copy-loop rewrite.
4CC7,4CC7,1,31,32,Version metadata,C1.10 -> C1.20 version digit,proven,ASCII version string changes 1 to 2.
4CE4,4CEA,7,32 35 2D 41 70 72 2D,6D 65 63 30 33 32 31,Build metadata,build/date signature,proven bytes,C1.10 '25-Apr-81' begins here; C1.20 replaces it with 'mec032183'.
4CEC,4CEC,1,31,33,Build metadata,build/date signature,proven bytes,Final byte of C1.10/C1.20 build-signature change.
52EB,52F5,11,B2 27 80 3E 29 00 28 74 02 B2 4F,8A 16 29 00 FE CA 90 90 90 90 90,Video bug/generalization,CLS right edge derived from CRTWID,proven,"C1.10 hardcodes 39 or 79; C1.20 uses MOV DL,[CRTWID] / DEC DL. This proves DS:0029 = CRTWID."
5FC9,5FCE,6,10 5B 88 36 A7 04,1E B8 FF FF 8E D8,PCjr compatibility code,PCjr/cartridge compatibility check inserted in former table/data area,high,"Reads model byte at FFFF:000E, accepts non-PCjr, compares 9-byte E800:001A signature on PCjr, otherwise prints 'Cartridge Required'."
5FD0,5FDD,14,00 10 C6 06 FB 02 04 E9 10 15 C7 06 A5 04,0E 00 80 3F FD 75 13 B8 00 E8 8E C0 BF 1A,PCjr compatibility code,PCjr/cartridge compatibility check,high,Continuation of 5FC9 routine.
5FDF,6024,70,00 C3 5C D6 ED BD CE FE E6 5B 5F A6 B4 36 41 5F 70 09 63 CF 61 84 11 77 CC 2B 66 43 7A E5 D5 94 BF 56 69 6A 6C AF 05 BD 37 06 6D 85 47 1B 47 AC C5 27 70 66 19 E2 58 17 B7 51 73 E0 4F 8D 97 6E 12 03 77 D8 A3 70,BE E4 4C B9 09 00 F3 2E A6 75 04 1F 1E 07 C3 1F 1E 07 C6 06 71 00 00 E8 EE F2 BE 64 4C FB 2E AC 0A C0 74 FE 56 B4 0E CD 10 5E EB F1 0C 80 88 47 01 C6 47 02 B8 C3 8B 1E A5 04 FE C7 FE CF 75 05 5A 32 DB 33 D2 C3,PCjr compatibility + math fix helpers,cartridge check plus two floating-point zero/normalization helpers,high,5FDF-600A continues cartridge check; 600B prepares normalized working FAC; 6015 performs zero-exponent early return.
724D,726C,32,BB A4 04 8A 87 01 00 88 87 03 00 0A C0 9C 0C 80 88 87 01 00 C6 87 02 00 B8 9D 9C 79 03 E8 22 00,F6 06 A6 04 FF 75 02 9D C3 BB A4 04 8A 47 01 88 47 03 0A C0 9C E8 A6 ED 9D 9C 79 04 E8 23 00 90,Math bug fix,zero-FAC guard and factored normalization helper,high,Adds FACEXP==0 early return and calls new 600B helper; remaining shift/rounding path is preserved.
72B6,72BE,9,9C 8B 16 A3 04 8B 1E A5 04,8B 16 A3 04 E8 58 ED 90 9C,Math bug fix,zero-exponent early-return helper,high,"Calls 6015. Helper preserves carry while testing FACEXP and, on zero, discards local return and returns zero directly to the caller."
7FE8,7FE8,1,14,D8,ROM checksum,8 KiB checksum compensation byte,proven,14->D8 exactly compensates all other changes in 6000-7FFF; lies between NUL string terminator and separately-targeted entry 7FE9.
